Course,Term_Offered,Campus
ARTS4925,Term 1 2019,"Main Campus, Kensington"
ARTS4926,Term 1 2019,"Main Campus, Kensington"
ARTS5100,Term 1 2019,"Main Campus, Kensington"
ARTS0209,Term 2 2019,"Main Campus, Kensington"
ARTS0212,Term 2 2019,"Main Campus, Kensington"
ARTS0225,Term 2 2019,"Main Campus, Kensington"
ARTS0229,Term 2 2019,"Main Campus, Kensington"
ARTS0506,Term 2 2019,"Main Campus, Kensington"
ARTS0606,Term 2 2019,"Main Campus, Kensington"
ARTS1032,Term 2 2019,"Main Campus, Kensington"
ARTS1062,Term 2 2019,"Main Campus, Kensington"
ARTS1092,Term 2 2019,"Main Campus, Kensington"
ARTS1121,Term 2 2019,"Main Campus, Kensington"
ARTS1210,Term 2 2019,"Main Campus, Kensington"
ARTS1270,Term 2 2019,"Main Campus, Kensington"
ARTS1361,Term 2 2019,"Main Campus, Kensington"
ARTS1481,Term 2 2019,"Main Campus, Kensington"
ARTS1511,Term 2 2019,"Main Campus, Kensington"
ARTS1540,Term 2 2019,"Main Campus, Kensington"
ARTS1571,Term 2 2019,"Main Campus, Kensington"
ARTS1620,Term 2 2019,"Main Campus, Kensington"
ARTS1630,Term 2 2019,"Main Campus, Kensington"
ARTS1782,Term 2 2019,"Main Campus, Kensington"
ARTS1846,Term 2 2019,"Main Campus, Kensington"
ARTS2021,Term 2 2019,"Main Campus, Kensington"
ARTS2031,Term 2 2019,"Main Campus, Kensington"
ARTS2036,Term 2 2019,"Main Campus, Kensington"
ARTS2050,Term 2 2019,"Main Campus, Kensington"
ARTS2062,Term 2 2019,"Main Campus, Kensington"
ARTS2065,Term 2 2019,"Main Campus, Kensington"
ARTS2091,Term 2 2019,"Main Campus, Kensington"
ARTS2092,Term 2 2019,"Main Campus, Kensington"
ARTS2094,Term 2 2019,"Main Campus, Kensington"
ARTS2123,Term 2 2019,"Main Campus, Kensington"
ARTS2126,Term 2 2019,"Main Campus, Kensington"
ARTS2128,Term 2 2019,"Main Campus, Kensington"
ARTS2242,Term 2 2019,"Main Campus, Kensington"
ARTS2248,Term 2 2019,"Main Campus, Kensington"
ARTS2270,Term 2 2019,"Main Campus, Kensington"
ARTS2282,Term 2 2019,"Main Campus, Kensington"
ARTS2285,Term 2 2019,"Main Campus, Kensington"
ARTS2362,Term 2 2019,"Main Campus, Kensington"
ARTS2375,Term 2 2019,"Main Campus, Kensington"
